1	0	1/4
5	4	1/65536
7	6	1/1310720
9	8	1125/30064771072
9	0	1/1073741824
11	10	227/120259084288
11	2	1/21474836480
13	12	454541/4644337115725824
13	4	1125/492581209243648
13	0	1/429496729600
15	14	208917/40250921669623808
15	6	227/1970324836974592
15	2	225/1970324836974592
17	16	25880735367/92325954088916305838080
17	8	454541/76092819304051900416
17	4	227/39406496739491840
17	0	1265625/225972614902942007296
19	18	125277175/8153460880579621814272
19	10	208917/659471100635116470272
19	6	454541/1521856386081038008320
19	2	255375/903890459611768029184
21	20	166443607629/195241519867762611715047424
21	12	25880735367/1512668431792804754851102720
21	8	208917/13189422012702329405440
21	4	170452875/11635911013790805806546944
21	0	51529/3615561838447072116736
23	22	261219438545/5466762556297353128021327872
23	14	125277175/133586303067416523805032448
23	10	25880735367/30253368635856095097022054400
23	6	235031625/302533686358560950970220544
23	2	103180807/139630932165489669678563328
25	24	61215545321183383/22660561743761085913323863271276544
25	16	166443607629/3198837061513422630339336994816
25	12	25055435/534345212269666095220129792
25	8	5823165457575/138787933684362553379490615001088
25	4	47424159/1210134745434243803880882176
25	0	206607520681/5392466811127116477460585119744
27	26	2929733987165577/19042488860303433540608288463257600
27	18	261219438545/89567437722375833649501435854848
27	14	166443607629/63976741230268452606786739896320
27	10	140936821875/61282983704783465128606245584896
27	6	5874926928309/2775758673687251067589812300021760
27	2	31653780699/15578237454367225379330579234816
29	28	15006736808343995/1701775295384789755250870171901886464
29	20	61215545321183383/371270643609781631603898175836594896896
29	16	52243887709/358269750889503334598005743419392
29	12	187249058582625/1467472899643405658513431525045829632
29	8	28437918725/245131934819133860514424982339584
29	4	3921285111483849/35732737943329366886093309425651548160
29	0	43646312889/405034173813547859862595060105216
31	30	138616445294387951/272731882865614989723099982812697067520
31	22	2929733987165577/311992137487211455129326198182012518400
31	18	61215545321183383/7425412872195632632077963516731897937920
31	14	293871868363125/41089241190015358438376082701283229696
31	10	37782698931783/5869891598573622634053726100183318528
31	6	56943612401675/9466855247323624473718227432250540032
31	2	5406925590667539/929051186526563539038426045066940252160
33	32	207122341845195676911/7036018500824244609032196757866671308275712
33	24	15006736808343995/27881886439584395350030256896440507826176
33	20	2929733987165577/6239842749744229102586523963640250368000
33	16	68867488486331305875/170321150297274543061551495961389582140833792
33	12	59296812549715/164356964760061433753504330805132918784
33	8	25218481285097763/75563953104380897542835623762817028456448
33	4	26172531569475/82046078810138078772224637746171346944
33	0	669812463136684624689/2131020449607170383304780125132744872794521600
35	34	60242631893540726631/35180092504121223045160983789333356541378560
35	26	138616445294387951/4468439168870235991623270118403228754247680
35	22	3001347361668799/111527545758337581400121027585762031304704
